timestamp,station_id,station_name,latitude,longitude,elevation_m,T_clean,P_clean,RH_clean,T_obs,P_obs,RH_obs,T_dew,dew_point_spread,rh_supersat_excess,phys_violation_flag,phys_bounds_flag,phys_cospike_flag,temp_step_zscore,pres_step_zscore,rh_step_zscore,is_frozen_flag,temporal_anomaly_score,T_idw,P_idw,RH_idw,T_spatial_resid,P_spatial_resid,RH_spatial_resid,spatial_divergence_score,predicted_class,predicted_fault,fault_confidence,is_fault,fault_class,affected_channel,event_context,severity,T_imputed,P_imputed,RH_imputed,qc_flag
2023-05-01 00:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,19.7,1003.1,91.06,19.7,1003.1,91.06,18.200762777364435,1.4992372226355641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25522683607116625,25.109815276857713,1007.0367571693894,79.99675977044747,-5.409815276857714,-3.9367571693893524,11.063240229552534,1.1587587390887564,0,NONE,0.9823560728877477,0,NONE,NONE,NORMAL,0.0,19.7,1003.1,91.06,FLAG_ORIGINAL_VALID
2023-05-01 01:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,21.13,1003.47,82.64,21.13,1003.47,82.64,18.0625605596284,3.0674394403716008,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.14303025221119692,26.318089936467796,1007.5062422168644,75.6423287094239,-5.188089936467797,-4.036242216864366,6.997671290576108,1.6308652565127504,0,NONE,0.9888206361899144,0,NONE,NONE,NORMAL,0.0,21.13,1003.47,82.64,FLAG_ORIGINAL_VALID
2023-05-01 02:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,22.57,1003.83,75.08,22.57,1003.83,75.08,17.936312978877623,4.633687021122377,0.0,0.0,0.0,0.0,0.7144851300880138,0.6778568229856171,-0.590383763962598,0.0,0.10955133830803543,27.132466024214363,1007.6636599888994,71.83310013583714,-4.562466024214363,-3.8336599888993987,3.246899864162856,0.9266541229834693,0,NONE,0.980443493727123,0,NONE,NONE,NORMAL,0.0,22.57,1003.83,75.08,FLAG_ORIGINAL_VALID
2023-05-01 03:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,24.0,1004.2,68.27,24.0,1004.2,68.27,17.79919291233228,6.2008070876677195,0.0,0.0,0.0,0.0,0.5719671955982675,0.5981471225195115,-0.33324191224693933,0.0,0.06877409121664835,27.39538411135201,1008.2513146079334,68.60085317362469,-3.3953841113520085,-4.051314607933364,-0.33085317362468913,0.7596565783920792,0,NONE,0.9827466397393793,0,NONE,NONE,NORMAL,0.0,24.0,1004.2,68.27,FLAG_ORIGINAL_VALID
2023-05-01 04:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,25.4,1003.9,58.07,25.4,1003.9,58.07,16.566043200337432,8.833956799662566,0.0,0.0,0.0,0.0,0.4560140486870699,-1.7016042528708728,-1.0329606517859957,0.0,0.15102229123363242,28.974559101124207,1008.4771342836365,57.83622582277446,-3.5745591011242084,-4.5771342836364965,0.23377417722554128,0.9100484884694474,0,NONE,0.9881013470431728,0,NONE,NONE,NORMAL,0.0,25.4,1003.9,58.07,FLAG_ORIGINAL_VALID
2023-05-01 05:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,26.8,1003.6,49.4,26.8,1003.6,49.4,15.332877680911052,11.467122319088949,0.0,0.0,0.0,0.0,0.4092504455928577,-1.275731947151915,-0.5271364355107112,0.0,0.07084619809606718,30.396132512330865,1008.3453936626117,49.201409554194186,-3.5961325123308647,-4.745393662611718,0.19859044580581298,0.9600553883834413,0,NONE,0.9876339927902617,0,NONE,NONE,NORMAL,0.0,26.8,1003.6,49.4,FLAG_ORIGINAL_VALID
2023-05-01 06:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,28.2,1003.3,42.03,28.2,1003.3,42.03,14.100214651372125,14.099785348627874,0.0,0.0,0.0,0.0,-0.9805806756910348,-0.9999500037498013,0.727033332494826,0.0,0.08542665997428678,31.581408930239558,1008.0591451948926,45.55663193184395,-3.3814089302395587,-4.759145194892653,-3.5266319318439514,1.001947870677539,0,NONE,0.9880037877799904,0,NONE,NONE,NORMAL,0.0,28.2,1003.3,42.03,FLAG_ORIGINAL_VALID
2023-05-01 07:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,27.97,1002.73,42.7,27.97,1002.73,42.7,14.137209175649948,13.83279082435005,0.0,0.0,0.0,0.0,-2.2353138297105475,-1.2467409036708417,2.1203763874388435,0.0,0.31218461713570544,31.616326714792965,1007.3120202141534,45.22160283169541,-3.6463267147929663,-4.582020214153431,-2.521602831695404,0.8422632290218797,0,NONE,0.987814413263969,0,NONE,NONE,NORMAL,0.0,27.97,1002.73,42.7,FLAG_ORIGINAL_VALID
2023-05-01 08:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,27.73,1002.17,43.38,27.73,1002.17,43.38,14.164596434770184,13.565403565229817,0.0,0.0,0.0,0.0,-1.420528010168213,-0.9065151905616861,1.372111261268873,0.0,0.1334873964227652,31.80274291381042,1006.4133968189504,41.1517443217777,-4.072742913810419,-4.243396818950487,2.228255678222304,0.7249736755192603,0,NONE,0.9876874958377863,0,NONE,NONE,NORMAL,0.0,27.73,1002.17,43.38,FLAG_ORIGINAL_VALID
2023-05-01 09:00:00+00:00,42921099999,"NASIK CITY, IN",19.9666666,73.8166666,598.0,27.5,1001.6,44.07,27.5,1001.6,44.07,14.20035837420477,13.29964162579523,0.0,0.0,0.0,0.0,-0.9959100715874748,-1.0246798375680315,0.9873670261324768,0.0,0.09206317779554152,32.54667812771817,1005.7450515525843,41.340187978689585,-5.046678127718167,-4.1450515525842775,2.7298120213104156,0.7204785730594306,0,NONE,0.9880043009044751,0,NONE,NONE,NORMAL,0.0,27.5,1001.6,44.07,FLAG_ORIGINAL_VALID
