"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","ED1","GA1","GA2","GA3","GE1","GF1","KA1","MA1","MD1","MW1","REM","EQD"
"42260099999","2025-01-06T10:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-15","99999","V020","340,1,N,0031,1","00610,1,9,N","001500,1,9,9","+0150,1","+0150,1","99999,9",,,,,,"05,U,9999,9","04,1,+00457,1,99,9","07,1,+00610,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00457,1,99,9,99,9",,"10160,1,99999,9",,"10,1","MET077METAR VIAG 061000Z 34006KT 1500 R05/P2000 BR SCT015 BKN020 15/15 Q1016 NOSIG=",
"42260099999","2025-01-06T10:30:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-15","99999","V020","330,1,N,0026,1","00610,1,9,N","001500,1,9,9","+0150,1","+0150,1","99999,9",,,,,,"05,U,9999,9","04,1,+00457,1,99,9","07,1,+00610,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,00457,1,99,9,99,9",,"10160,1,99999,9",,"10,1","MET077METAR VIAG 061030Z 33005KT 1500 R05/P2000 BR SCT015 BKN020 15/15 Q1016 NOSIG=",
"42260099999","2025-01-07T00:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","290,1,N,0036,1","00120,1,W,N","000500,1,9,9","+0118,1","+0118,1","10181,1",,"4,1,02,1","4,1,02,1",,,,"09,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,+019,1","45,1","SYN05842260 31993 92907 10118 20118 40181 74544 89/// 333 58019=",
"42260099999","2025-01-09T09:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","360,1,N,0015,1","99999,9,9,N","004000,1,9,9","+0228,1","+0103,1","10172,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,"9,9,999,9,+023,1","05,1","SYN05242260 31996 03603 10228 20103 40172 70500 333 58023=",
"42260099999","2025-01-09T18:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,V,0010,1","99999,9,9,N","000500,1,9,9","+0114,1","+0114,1","10199,1",,"4,1,02,1","4,1,02,1",,,,,,,,,,,"9,9,999,9,+025,1","46,1","SYN05242260 31993 09902 10114 20114 40199 74644 333 58025=",
"42260099999","2025-01-10T03:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,V,0010,1","00030,1,W,N","000050,1,9,9","+0097,1","+0097,1","10226,1",,"4,1,02,1","4,1,02,1",,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,00,1,99,9,99999,9,99,9,99,9","240,N,+0094,1",,"9,9,999,9,+029,1","45,1","SYN07442260 31991 99902 10097 20097 40226 74544 80000 333 20094 58029 555 10000=",
"42260099999","2025-01-10T06:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,V,0010,1","00120,1,W,N","000500,1,9,9","+0126,1","+0126,1","10231,1",,"4,1,02,1","4,1,02,1",,,,"00,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,00,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,+026,1","43,1","SYN05842260 31993 99902 10126 20126 40231 74344 80000 333 58026=",
"42260099999","2025-01-10T12:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","050,1,N,0015,1","99999,9,9,N","000500,1,9,9","+0141,1","+0141,1","10184,1",,"4,1,02,1","4,1,02,1",,,,,,,,,"240,M,+0171,1",,"9,9,999,9,+009,1","46,1","SYN05842260 31993 00503 10141 20141 40184 74644 333 10171 58009=",
"42260099999","2025-01-11T00:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","999,9,V,0010,1","00030,1,W,N","000049,1,9,9","+0113,1","+0113,1","10192,1",,"4,1,02,1","4,1,02,1",,,,"09,1,+99999,9,99,9",,,"9,AGL   ,+99999,+99999","09,99,1,09,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,-012,1","45,1","SYN05842260 31990 99902 10113 20113 40192 74544 89/// 333 59012=",
"42260099999","2025-01-11T12:00:00","4","27.155831","77.960892","167.94","AGRA, IN","FM-12","99999","V020","070,1,N,0015,1","99999,9,9,N","001000,1,9,9","+0181,1","+0146,1","10150,1",,"1,1,02,1","1,1,02,1",,,,"06,1,+99999,9,03,1",,,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,99999,9,99,9,99,9",,,"9,9,999,9,-030,1","10,1","SYN06442260 31994 60703 10181 20146 40150 71011 86030 333 10201 59030=",
