"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","AZ1","AZ2","GA1","GA2","GA3","GA4","GE1","GF1","KA1","KA2","MA1","MD1","MW1","REM","EQD"
"42170099999","2025-01-02T18:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0102,1","+0090,1","10188,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,,"9,9,999,9,-008,1","10,1","SYN05242170 31995 00000 10102 20090 40188 71000 333 59008=",
"42170099999","2025-01-02T21:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","001000,1,9,9","+0086,1","+0078,1","10188,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,,"9,9,999,9,-005,1","10,1","SYN05242170 31994 00000 10086 20078 40188 71000 333 59005=",
"42170099999","2025-01-03T00:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","000500,1,9,9","+0078,1","+0069,1","10182,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,,"9,9,999,9,-002,1","44,1","SYN05242170 31993 00000 10078 20069 40182 74400 333 59002=",
"42170099999","2025-01-03T03:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","999,9,C,0000,1","03000,1,C,N","001000,1,9,9","+0080,1","+0067,1","10196,1",,"4,1,02,1","0,1,02,1",,,"06,1,+03000,1,04,1",,,,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,03000,1,99,9,99,9","240,M,+0202,1","240,N,+0068,1",,"9,9,999,9,-012,1","10,1","SYN08642170 31994 60000 10080 20067 40196 71040 86010 333 10202 20068 59012 86460 555 10000=",
"42170099999","2025-01-03T06:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","050,1,N,0005,1","03000,1,C,N","004000,1,9,9","+0180,1","+0078,1","10195,1",,,,,,"06,1,+03000,1,04,1",,,,"9,AGL   ,+99999,+99999","06,99,1,06,1,99,9,03000,1,99,9,99,9",,,,"9,9,999,9,-009,1",,"SYN05842170 32996 60501 10180 20078 40195 86010 333 59009 86460=",
"42170099999","2025-01-03T09:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","090,1,N,0010,1","22000,1,9,N","004000,1,9,9","+0236,1","+0087,1","10164,1",,,,,,"02,1,+09000,1,00,1",,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,09000,1,99,9,99,9",,,"99999,9,09831,1","9,9,999,9,-002,1",,"SYN06442170 32996 20902 10236 20087 39831 40164 80001 333 59002 82080=",
"42170099999","2025-01-03T12:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0216,1","+0093,1","10156,1",,,,,,,,,,,,"240,M,+0248,1",,,"9,9,999,9,-011,1",,"SYN05242170 32996 00502 10216 20093 40156 333 10248 59011=",
"42170099999","2025-01-03T15:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0150,1","+0105,1","10170,1",,,,,,,,,,,,,,,"9,9,999,9,-012,1",,"SYN04642170 32996 00502 10150 20105 40170 333 59012=",
"42170099999","2025-01-03T18:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0120,1","+0105,1","10168,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,,"9,9,999,9,-018,1","10,1","SYN05242170 31995 00000 10120 20105 40168 71000 333 59018=",
"42170099999","2025-01-03T21:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","001000,1,9,9","+0090,1","+0084,1","10156,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,,"9,9,999,9,-029,1","10,1","SYN05242170 31994 00000 10090 20084 40156 71000 333 59029=",
"42170099999","2025-01-04T00:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0080,1","+0071,1","10152,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,,"9,9,999,9,-028,1","10,1","SYN05242170 31995 00000 10080 20071 40152 71000 333 59028=",
"42170099999","2025-01-04T03:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","004000,1,9,9","+0086,1","+0073,1","10172,1",,,,,,,,,,,,"240,M,+0284,1","240,N,+0075,1",,"9,9,999,9,-022,1",,"SYN05842170 32996 00000 10086 20073 40172 333 10284 20075 59022=",
"42170099999","2025-01-04T06:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0244,2","+0089,1","10109,1",,,,,,,,,,,,,,,"9,9,999,9,-075,1",,"SYN04642170 32996 01402 10244 20089 40109 333 59075=",
"42170099999","2025-01-04T09:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","050,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0284,2","+0104,1","10121,1",,,,,,,,,,,,,,,"9,9,999,9,-036,1",,"SYN04642170 32996 00501 10284 20104 40121 333 59036=",
"42170099999","2025-01-04T12:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","004000,1,9,9","+0260,1","+0135,1","10114,1",,,,,,,,,,,,,,,"9,9,999,9,-036,1",,"SYN05242170 32996 00000 10260 20135 40114 333 10306 59036=",
"42170099999","2025-01-04T15:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","090,1,N,0010,1","99999,9,9,N","002000,1,9,9","+0190,1","+0130,1","10139,1",,,,,,,,,,,,,,,"9,9,999,9,-026,1",,"SYN04642170 32995 00902 10190 20130 40139 333 59026=",
"42170099999","2025-01-04T18:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","001000,1,9,9","+0148,1","+0122,1","10150,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,,"9,9,999,9,-014,1","10,1","SYN05242170 31994 00000 10148 20122 40150 71000 333 59014=",
"42170099999","2025-01-04T21:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","002000,1,9,9","+0126,1","+0115,1","10146,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,,"9,9,999,9,-006,1","10,1","SYN05242170 31995 00000 10126 20115 40146 71000 333 59006=",
"42170099999","2025-01-05T00:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","050,1,N,0010,1","99999,9,9,N","002000,1,9,9","+0118,1","+0110,1","10136,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,,"9,9,999,9,-011,1","10,1","SYN05242170 31995 00502 10118 20110 40136 71000 333 59011=",
"42170099999","2025-01-05T03:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","999,9,C,0000,1","00060,1,W,N","000200,1,9,9","+0104,1","+0104,1","10159,1",,"0,1,02,1","0,1,02,1",,,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0306,1","240,N,+0096,1",,"9,9,999,9,-010,1","45,1","SYN06442170 31/92 90000 10104 20104 40159 74500 333 10306 20096 59010=",
"42170099999","2025-01-05T06:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","002000,1,9,9","+0150,1","+0117,1","10164,1",,"4,1,02,1","0,1,02,1",,,,,,,,,,,,"9,9,999,9,+042,1","10,1","SYN05242170 31995 03201 10150 20117 40164 71040 333 58042=",
"42170099999","2025-01-05T09:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0216,1","+0137,1","10128,1",,,,,,,,,,,,,,,"9,9,999,9,+000,1",,"SYN04642170 32996 03201 10216 20137 40128 333 58000=",
"42170099999","2025-01-05T12:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0162,1","+0130,1","10133,1",,,,,,,,,,,,"240,M,+0222,1",,,"9,9,999,9,+008,1",,"SYN05242170 32996 03201 10162 20130 40133 333 10222 58008=",
"42170099999","2025-01-05T15:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","320,1,N,0005,1","99999,9,9,N","001000,1,9,9","+0128,1","+0121,1","10165,1",,"0,1,02,1","0,1,02,1",,,,,,,,,,,,"9,9,999,9,+018,1","10,1","SYN05242170 31994 03201 10128 20121 40165 71000 333 58018=",
"42170099999","2025-01-05T18:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","360,1,N,0010,1","22000,1,9,N","001000,1,9,9","+0128,1","+0121,1","10173,1",,"0,1,02,1","0,1,02,1",,,"04,1,+06000,1,01,1",,,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,06000,1,99,9,99,9",,,,"9,9,999,9,+020,1","10,1","SYN06442170 31994 43602 10128 20121 40173 71000 80002 333 58020 84170=",
"42170099999","2025-01-05T21:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","320,1,N,0005,1","22000,1,9,N","002000,1,9,9","+0118,1","+0114,1","10167,1",,"0,1,02,1","0,1,02,1",,,"04,2,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","03,99,2,04,2,99,9,06000,1,99,9,99,9",,,,"9,9,999,9,+019,1","10,1","SYN06442170 31995 33201 10118 20114 40167 71000 80001 333 58019 84070=",
"42170099999","2025-01-06T00:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","360,1,N,0005,1","22000,1,9,N","002000,1,9,9","+0108,1","+0104,1","10169,1",,"0,1,02,1","0,1,02,1",,,"02,1,+06000,1,00,1",,,,"9,AGL   ,+99999,+99999","02,99,1,02,1,99,9,06000,1,99,9,99,9",,,,"9,9,999,9,+031,1","10,1","SYN06442170 31995 23601 10108 20104 40169 71000 80001 333 58031 82070=",
"42170099999","2025-01-06T03:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","320,1,N,0005,1","00120,1,W,N","000500,1,9,9","+0108,1","+0100,1","10192,1",,"1,1,02,1","0,1,02,1",,,,,,,,"09,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0222,1","240,N,+0102,1",,"9,9,999,9,+032,1","45,1","SYN06442170 31/93 93201 10108 20100 40192 74510 333 10222 20102 58032=",
"42170099999","2025-01-06T06:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","002000,1,9,9","+0144,1","+0094,1","10200,1",,"4,1,02,1","1,1,02,1",,,,,,,,,,,,"9,9,999,9,+034,1","05,1","SYN05242170 31995 03202 10144 20094 40200 70541 333 58034=",
"42170099999","2025-01-06T09:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","320,1,N,0010,1","99999,9,9,N","004000,1,9,9","+0190,1","+0091,1","10169,1",,,,,,,,,,,,,,,"9,9,999,9,+036,1",,"SYN04642170 32996 03202 10190 20091 40169 333 58036=",
"42170099999","2025-01-06T12:00:00","4","28.25","74.9166666","291.0","CHURU, IN","FM-12","99999","V020","360,1,N,0005,1","99999,9,9,N","004000,1,9,9","+0174,1","+0085,1","10167,1",,,,,,,,,,,,"240,M,+0194,1",,,"9,9,999,9,+034,1",,"SYN05242170 32996 03601 10174 20085 40167 333 10194 58034=",
